Area name,Mother tongue name,Persons
CHANDIGARH,GONDI,3
CHANDIGARH,HMAR,3
CHANDIGARH,KABUI,10
CHANDIGARH,KHANDESHI,1
CHANDIGARH,KHARIA,4
CHANDIGARH,KHASI,12
CHANDIGARH,KINNAURI,56
CHANDIGARH,KONDA,4
CHANDIGARH,KORWA,1
CHANDIGARH,KURUKH/ORAON,39
CHANDIGARH,LADAKHI,269
CHANDIGARH,LAHAULI,23
CHANDIGARH,LAHNDA,97
CHANDIGARH,LEPCHA,8
CHANDIGARH,LOTHA,1
CHANDIGARH,LUSHAI/MIZO,22
CHANDIGARH,MALTO,2
CHANDIGARH,MAO,2
CHANDIGARH,MUNDA,63
CHANDIGARH,MUNDARI,45
CHANDIGARH,NICOBARESE,12
CHANDIGARH,SAVARA,3
CHANDIGARH,TAMANG,4
CHANDIGARH,TANGKHUL,7
CHANDIGARH,TIBETAN,40
CHANDIGARH,TRIPURI,11
CHANDIGARH,TULU,8
CHANDIGARH,ZOU,4
UTTARAKHAND,ASSAMESE,1656
UTTARAKHAND,BENGALI,150933
UTTARAKHAND,BODO,51
UTTARAKHAND,DOGRI,4925
UTTARAKHAND,GUJARATI,3921
UTTARAKHAND,HINDI,8992114
UTTARAKHAND,KANNADA,1233
UTTARAKHAND,KASHMIRI,1770
UTTARAKHAND,KONKANI,84
UTTARAKHAND,MAITHILI,54553
UTTARAKHAND,MALAYALAM,3168
UTTARAKHAND,MANIPURI,490
UTTARAKHAND,MARATHI,6028
UTTARAKHAND,NEPALI,106399
UTTARAKHAND,ODIA,3630
UTTARAKHAND,PUNJABI,263310
UTTARAKHAND,SANSKRIT,386
UTTARAKHAND,SANTALI,426
UTTARAKHAND,SINDHI,2863
UTTARAKHAND,TAMIL,2584
UTTARAKHAND,TELUGU,3185
UTTARAKHAND,URDU,425752
UTTARAKHAND,ADI,80
UTTARAKHAND,AFGHANI/KABULI/PASHTO,90
UTTARAKHAND,ANAL,74
UTTARAKHAND,ANGAMI,29
UTTARAKHAND,AO,53
UTTARAKHAND,ARABIC/ARBI,339
UTTARAKHAND,BALTI,1173
UTTARAKHAND,BHILI/BHILODI,2001
UTTARAKHAND,BHOTIA,9287
UTTARAKHAND,BHUMIJ,1
UTTARAKHAND,BISHNUPURIYA,3
UTTARAKHAND,CHAKHESANG,2
UTTARAKHAND,CHAKRU/CHOKRI,2
UTTARAKHAND,CHANG,6
UTTARAKHAND,COORGI/KODAGU,9
UTTARAKHAND,DIMASA,9
UTTARAKHAND,ENGLISH,1385
UTTARAKHAND,GANGTE,7
UTTARAKHAND,GARO,30
UTTARAKHAND,GONDI,22
UTTARAKHAND,HALABI,3
UTTARAKHAND,HALAM,6001
UTTARAKHAND,HMAR,7
UTTARAKHAND,HO,34
UTTARAKHAND,KABUI,39
UTTARAKHAND,KARBI/MIKIR,3
UTTARAKHAND,KHANDESHI,9470
UTTARAKHAND,KHARIA,51
UTTARAKHAND,KHASI,18
UTTARAKHAND,KHEZHA,2
UTTARAKHAND,KHOND/KONDH,1
UTTARAKHAND,KINNAURI,251
UTTARAKHAND,KODA/KORA,4
UTTARAKHAND,KOM,15
UTTARAKHAND,KONDA,1
UTTARAKHAND,KONYAK,10
UTTARAKHAND,KUKI,2
UTTARAKHAND,KURUKH/ORAON,696
UTTARAKHAND,LADAKHI,264
UTTARAKHAND,LAHNDA,742
UTTARAKHAND,LAKHER,10
UTTARAKHAND,LEPCHA,147
UTTARAKHAND,LIMBU,5
UTTARAKHAND,LOTHA,21
UTTARAKHAND,LUSHAI/MIZO,118
UTTARAKHAND,MAO,39
UTTARAKHAND,MARAM,2
UTTARAKHAND,MARING,9
UTTARAKHAND,MIRI/MISHING,2
UTTARAKHAND,MISHMI,22
UTTARAKHAND,MOGH,3
UTTARAKHAND,MONPA,37
UTTARAKHAND,MUNDA,849
UTTARAKHAND,MUNDARI,92
UTTARAKHAND,NISSI/DAFLA,7553
UTTARAKHAND,PAITE,13
UTTARAKHAND,PARJI,3
UTTARAKHAND,PHOM,1
UTTARAKHAND,POCHURY,9
UTTARAKHAND,RABHA,2
UTTARAKHAND,RAI,268
UTTARAKHAND,RENGMA,503
UTTARAKHAND,SANGTAM,11
UTTARAKHAND,SAVARA,3
UTTARAKHAND,SEMA,7
UTTARAKHAND,SHINA,7
UTTARAKHAND,TAMANG,19
UTTARAKHAND,TANGKHUL,55
UTTARAKHAND,TANGSA,7
UTTARAKHAND,THADO,19
UTTARAKHAND,TIBETAN,10162
UTTARAKHAND,TRIPURI,33
UTTARAKHAND,TULU,12
UTTARAKHAND,WANCHO,1
UTTARAKHAND,YIMCHUNGRE,2
UTTARAKHAND,ZEMI,5
UTTARAKHAND,ZOU,3
HARYANA,ASSAMESE,4204
HARYANA,BENGALI,70948
HARYANA,BODO,92
HARYANA,DOGRI,3129
HARYANA,GUJARATI,7519
HARYANA,HINDI,22322157
HARYANA,KANNADA,3172
HARYANA,KASHMIRI,6225
HARYANA,KONKANI,432
HARYANA,MAITHILI,25685
HARYANA,MALAYALAM,14518
HARYANA,MANIPURI,563
HARYANA,MARATHI,12806
HARYANA,NEPALI,19914
HARYANA,ODIA,14835
HARYANA,PUNJABI,2400883
HARYANA,SANSKRIT,490
HARYANA,SANTALI,222
HARYANA,SINDHI,1658
HARYANA,TAMIL,12658
HARYANA,TELUGU,9831
HARYANA,URDU,374353
HARYANA,ADI,1023
HARYANA,AFGHANI/KABULI/PASHTO,218
HARYANA,ANGAMI,7
HARYANA,ARABIC/ARBI,491
HARYANA,BALTI,24
HARYANA,BHILI/BHILODI,1121
HARYANA,BHOTIA,61
HARYANA,BHUMIJ,1
HARYANA,BISHNUPURIYA,6
HARYANA,CHANG,1
HARYANA,COORGI/KODAGU,31
HARYANA,DIMASA,4
HARYANA,ENGLISH,3852
HARYANA,GADABA,4
HARYANA,GANGTE,1
HARYANA,GARO,19
HARYANA,GONDI,50
HARYANA,HALAM,5
HARYANA,HMAR,5
HARYANA,HO,52
HARYANA,KABUI,6
HARYANA,KARBI/MIKIR,2
HARYANA,KHANDESHI,62
HARYANA,KHARIA,216
HARYANA,KHASI,21
HARYANA,KHEZHA,25
HARYANA,KINNAURI,23
HARYANA,KISAN,1
HARYANA,KODA/KORA,4
HARYANA,KONYAK,2
HARYANA,KORWA,8
HARYANA,KUKI,21
HARYANA,KURUKH/ORAON,539
HARYANA,LADAKHI,908
HARYANA,LAHAULI,24
HARYANA,LAHNDA,29892
HARYANA,LAKHER,2
HARYANA,LEPCHA,4
HARYANA,LOTHA,3
HARYANA,LUSHAI/MIZO,95
HARYANA,MAO,1
HARYANA,MIRI/MISHING,3
HARYANA,MOGH,13
HARYANA,MONPA,11
HARYANA,MUNDA,1626
HARYANA,MUNDARI,280
HARYANA,NISSI/DAFLA,252
HARYANA,NOCTE,2
HARYANA,PAITE,12
HARYANA,RABHA,1
HARYANA,RENGMA,3
HARYANA,SAVARA,25
HARYANA,SEMA,3
HARYANA,SHERPA,2
HARYANA,SHINA,10
HARYANA,TAMANG,6
HARYANA,TANGKHUL,18
HARYANA,TANGSA,3
HARYANA,THADO,25
HARYANA,TIBETAN,329
HARYANA,TRIPURI,59
HARYANA,TULU,64
HARYANA,VAIPHEI,1
HARYANA,WANCHO,2
HARYANA,YIMCHUNGRE,1
HARYANA,ZOU,3
NCT OF DELHI,ASSAMESE,8573
NCT OF DELHI,BENGALI,215960
NCT OF DELHI,BODO,293
NCT OF DELHI,DOGRI,6350
NCT OF DELHI,GUJARATI,40613
NCT OF DELHI,HINDI,14255526
NCT OF DELHI,KANNADA,10012
NCT OF DELHI,KASHMIRI,18122
NCT OF DELHI,KONKANI,1553
NCT OF DELHI,MAITHILI,122956
NCT OF DELHI,MALAYALAM,88662
NCT OF DELHI,MANIPURI,3892
NCT OF DELHI,MARATHI,27239
NCT OF DELHI,NEPALI,37468
NCT OF DELHI,ODIA,37645
NCT OF DELHI,PUNJABI,873477
NCT OF DELHI,SANSKRIT,648
NCT OF DELHI,SANTALI,521
NCT OF DELHI,SINDHI,31177
NCT OF DELHI,TAMIL,82719
NCT OF DELHI,TELUGU,25934
NCT OF DELHI,URDU,867673
NCT OF DELHI,ADI,32
NCT OF DELHI,AFGHANI/KABULI/PASHTO,1768
NCT OF DELHI,ANAL,42
NCT OF DELHI,ANGAMI,79
NCT OF DELHI,AO,100
NCT OF DELHI,ARABIC/ARBI,696
NCT OF DELHI,BHILI/BHILODI,304
NCT OF DELHI,BHOTIA,372
NCT OF DELHI,BHUMIJ,9
NCT OF DELHI,BISHNUPURIYA,25
NCT OF DELHI,CHAKHESANG,6
NCT OF DELHI,CHAKRU/CHOKRI,4
NCT OF DELHI,CHANG,10
NCT OF DELHI,COORGI/KODAGU,59
NCT OF DELHI,DEORI,5
NCT OF DELHI,DIMASA,17
NCT OF DELHI,ENGLISH,6236
NCT OF DELHI,GANGTE,83
NCT OF DELHI,GARO,92
NCT OF DELHI,GONDI,147
NCT OF DELHI,HALABI,60
NCT OF DELHI,HALAM,28
NCT OF DELHI,HMAR,197
NCT OF DELHI,HO,70
NCT OF DELHI,JATAPU,2
NCT OF DELHI,KABUI,157
NCT OF DELHI,KARBI/MIKIR,10
NCT OF DELHI,KHANDESHI,178
NCT OF DELHI,KHARIA,430
NCT OF DELHI,KHASI,202
NCT OF DELHI,KHEZHA,21
NCT OF DELHI,KHIEMNUNGAN,3
NCT OF DELHI,KHOND/KONDH,11
NCT OF DELHI,KINNAURI,41
NCT OF DELHI,KODA/KORA,3
NCT OF DELHI,KOM,11
NCT OF DELHI,KONDA,4
NCT OF DELHI,KONYAK,6
NCT OF DELHI,KORWA,8
NCT OF DELHI,KUKI,296
NCT OF DELHI,KURUKH/ORAON,2753
NCT OF DELHI,LADAKHI,371
NCT OF DELHI,LAHAULI,16
NCT OF DELHI,LAHNDA,4070
NCT OF DELHI,LAKHER,21
NCT OF DELHI,LEPCHA,33
NCT OF DELHI,LIANGMEI,46
NCT OF DELHI,LIMBU,6
NCT OF DELHI,LOTHA,43
NCT OF DELHI,LUSHAI/MIZO,715
NCT OF DELHI,MAO,176
NCT OF DELHI,MARAM,8
NCT OF DELHI,MARING,16
NCT OF DELHI,MIRI/MISHING,8
NCT OF DELHI,MISHMI,7
